name,area
SuperScan (HAADF) 48,3.0
SuperScan (HAADF) 48,11.5
SuperScan (HAADF) 48,29.5
SuperScan (HAADF) 48,37.0
SuperScan (HAADF) 48,12.0
SuperScan (HAADF) 48,32.0
SuperScan (HAADF) 48,43.0
SuperScan (HAADF) 48,34.5
SuperScan (HAADF) 48,23.0
SuperScan (HAADF) 48,13.5
SuperScan (HAADF) 48,30.5
SuperScan (HAADF) 48,27.0
SuperScan (HAADF) 48,12.0
SuperScan (HAADF) 48,4.5
SuperScan (HAADF) 48,46.0
SuperScan (HAADF) 48,32.5
SuperScan (HAADF) 48,26.5
SuperScan (HAADF) 48,58.0
SuperScan (HAADF) 48,4.5
SuperScan (HAADF) 48,7.5
SuperScan (HAADF) 48,4.5
SuperScan (HAADF) 48,21.0
SuperScan (HAADF) 48,8.5
SuperScan (HAADF) 48,25.0
SuperScan (HAADF) 48,7.5
SuperScan (HAADF) 48,41.0
SuperScan (HAADF) 48,38.5
SuperScan (HAADF) 48,29.5
SuperScan (HAADF) 48,37.0
SuperScan (HAADF) 48,25.5
SuperScan (HAADF) 48,24.5
SuperScan (HAADF) 48,32.0
SuperScan (HAADF) 48,20.5
SuperScan (HAADF) 48,27.0
SuperScan (HAADF) 48,5.0
SuperScan (HAADF) 48,3.5
SuperScan (HAADF) 48,38.0
SuperScan (HAADF) 48,34.0
SuperScan (HAADF) 48,17.0
SuperScan (HAADF) 48,33.5
SuperScan (HAADF) 48,29.0
SuperScan (HAADF) 48,18.0
SuperScan (HAADF) 48,7.5
SuperScan (HAADF) 48,36.0
SuperScan (HAADF) 48,25.5
SuperScan (HAADF) 48,1.5
SuperScan (HAADF) 48,28.5
SuperScan (HAADF) 48,8.0
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,24.5
SuperScan (HAADF) 48,25.0
SuperScan (HAADF) 48,29.0
SuperScan (HAADF) 48,2.0
SuperScan (HAADF) 48,7.0
SuperScan (HAADF) 48,6.0
SuperScan (HAADF) 48,22.0
SuperScan (HAADF) 48,3.5
SuperScan (HAADF) 48,36.0
SuperScan (HAADF) 48,3.5
SuperScan (HAADF) 48,42.5
SuperScan (HAADF) 48,9.0
SuperScan (HAADF) 48,0.5
SuperScan (HAADF) 48,22.0
SuperScan (HAADF) 48,0.5
SuperScan (HAADF) 48,4.5
SuperScan (HAADF) 48,29.5
SuperScan (HAADF) 48,13.5
SuperScan (HAADF) 48,25.0
SuperScan (HAADF) 48,20.0
SuperScan (HAADF) 48,29.0
SuperScan (HAADF) 48,23.0
SuperScan (HAADF) 48,10.5
SuperScan (HAADF) 48,24.5
SuperScan (HAADF) 48,30.0
SuperScan (HAADF) 48,36.5
SuperScan (HAADF) 48,33.0
SuperScan (HAADF) 48,13.0
SuperScan (HAADF) 48,34.5
SuperScan (HAADF) 48,23.0
SuperScan (HAADF) 48,35.5
SuperScan (HAADF) 48,27.5
SuperScan (HAADF) 48,16.5
SuperScan (HAADF) 48,31.5
SuperScan (HAADF) 48,22.5
SuperScan (HAADF) 48,92.5
SuperScan (HAADF) 48,32.5
SuperScan (HAADF) 48,30.5
SuperScan (HAADF) 48,8.0
SuperScan (HAADF) 48,34.0
SuperScan (HAADF) 48,34.5
SuperScan (HAADF) 48,8.5
SuperScan (HAADF) 48,7.0
SuperScan (HAADF) 48,5.5
SuperScan (HAADF) 48,31.5
SuperScan (HAADF) 48,47.5
SuperScan (HAADF) 48,11.5
SuperScan (HAADF) 48,19.5
SuperScan (HAADF) 48,2.0
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,12.5
SuperScan (HAADF) 48,30.0
SuperScan (HAADF) 48,32.5
SuperScan (HAADF) 48,31.5
SuperScan (HAADF) 48,7.0
SuperScan (HAADF) 48,24.5
SuperScan (HAADF) 48,37.0
SuperScan (HAADF) 48,22.0
SuperScan (HAADF) 48,27.5
SuperScan (HAADF) 48,34.5
SuperScan (HAADF) 48,1.5
SuperScan (HAADF) 48,27.0
SuperScan (HAADF) 48,40.0
SuperScan (HAADF) 48,27.0
SuperScan (HAADF) 48,15.5
SuperScan (HAADF) 48,41.0
SuperScan (HAADF) 48,39.0
SuperScan (HAADF) 48,25.0
SuperScan (HAADF) 48,35.5
SuperScan (HAADF) 48,3.0
SuperScan (HAADF) 48,23.0
SuperScan (HAADF) 48,4.0
SuperScan (HAADF) 48,43.5
SuperScan (HAADF) 48,34.0
SuperScan (HAADF) 48,36.0
SuperScan (HAADF) 48,27.0
SuperScan (HAADF) 48,5.5
SuperScan (HAADF) 48,3.5
SuperScan (HAADF) 48,15.0
SuperScan (HAADF) 48,6.0
SuperScan (HAADF) 48,8.0
SuperScan (HAADF) 48,39.5
SuperScan (HAADF) 48,37.0
SuperScan (HAADF) 48,30.5
SuperScan (HAADF) 48,38.0
SuperScan (HAADF) 48,1.5
SuperScan (HAADF) 48,17.5
SuperScan (HAADF) 48,32.5
SuperScan (HAADF) 48,37.0
SuperScan (HAADF) 48,12.0
SuperScan (HAADF) 48,27.5
SuperScan (HAADF) 48,36.5
SuperScan (HAADF) 48,26.5
SuperScan (HAADF) 48,31.0
SuperScan (HAADF) 48,9.5
SuperScan (HAADF) 48,37.5
SuperScan (HAADF) 48,0.5
SuperScan (HAADF) 48,95.5
SuperScan (HAADF) 48,3.0
SuperScan (HAADF) 48,28.0
SuperScan (HAADF) 48,0.5
SuperScan (HAADF) 48,40.0
SuperScan (HAADF) 48,4.5
SuperScan (HAADF) 48,28.5
SuperScan (HAADF) 48,25.5
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,25.5
SuperScan (HAADF) 48,39.5
SuperScan (HAADF) 48,41.0
SuperScan (HAADF) 48,29.0
SuperScan (HAADF) 48,37.0
SuperScan (HAADF) 48,4.5
SuperScan (HAADF) 48,36.0
SuperScan (HAADF) 48,32.5
SuperScan (HAADF) 48,36.0
SuperScan (HAADF) 48,36.5
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,34.5
SuperScan (HAADF) 48,25.5
SuperScan (HAADF) 48,28.0
SuperScan (HAADF) 48,3.0
SuperScan (HAADF) 48,21.5
SuperScan (HAADF) 48,36.0
SuperScan (HAADF) 48,32.0
SuperScan (HAADF) 48,26.5
SuperScan (HAADF) 48,61.5
SuperScan (HAADF) 48,30.0
SuperScan (HAADF) 48,5.5
SuperScan (HAADF) 48,11.0
SuperScan (HAADF) 48,41.5
SuperScan (HAADF) 48,27.5
SuperScan (HAADF) 48,5.0
SuperScan (HAADF) 48,29.5
SuperScan (HAADF) 48,35.0
SuperScan (HAADF) 48,28.0
SuperScan (HAADF) 48,10.0
SuperScan (HAADF) 48,3.5
SuperScan (HAADF) 48,0.5
SuperScan (HAADF) 48,31.5
SuperScan (HAADF) 48,16.0
SuperScan (HAADF) 48,48.0
SuperScan (HAADF) 48,18.5
SuperScan (HAADF) 48,21.0
SuperScan (HAADF) 48,20.0
SuperScan (HAADF) 48,32.0
SuperScan (HAADF) 48,18.0
SuperScan (HAADF) 48,31.0
SuperScan (HAADF) 48,29.5
SuperScan (HAADF) 48,47.0
SuperScan (HAADF) 48,60.0
SuperScan (HAADF) 48,2.0
SuperScan (HAADF) 48,11.0
SuperScan (HAADF) 48,0.5
SuperScan (HAADF) 48,31.5
SuperScan (HAADF) 48,30.0
SuperScan (HAADF) 48,34.0
SuperScan (HAADF) 48,5.5
SuperScan (HAADF) 48,27.5
SuperScan (HAADF) 48,3.0
SuperScan (HAADF) 48,23.5
SuperScan (HAADF) 48,1.0
SuperScan (HAADF) 48,30.5
SuperScan (HAADF) 48,8.0
SuperScan (HAADF) 48,58.0
SuperScan (HAADF) 48,6.5
SuperScan (HAADF) 48,30.0
SuperScan (HAADF) 48,5.0
SuperScan (HAADF) 48,18.5
SuperScan (HAADF) 48,24.0
SuperScan (HAADF) 48,42.5
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,4.0
SuperScan (HAADF) 48,21.5
SuperScan (HAADF) 48,9.5
SuperScan (HAADF) 48,39.5
SuperScan (HAADF) 48,30.5
SuperScan (HAADF) 48,29.5
SuperScan (HAADF) 48,25.0
SuperScan (HAADF) 48,22.0
SuperScan (HAADF) 48,25.5
SuperScan (HAADF) 48,54.0
SuperScan (HAADF) 48,32.5
SuperScan (HAADF) 48,25.0
SuperScan (HAADF) 48,49.0
SuperScan (HAADF) 48,33.0
SuperScan (HAADF) 48,46.0
SuperScan (HAADF) 48,16.0
SuperScan (HAADF) 48,84.0
SuperScan (HAADF) 48,21.0
SuperScan (HAADF) 48,32.5
SuperScan (HAADF) 48,7.0
SuperScan (HAADF) 48,37.5
SuperScan (HAADF) 48,23.5
SuperScan (HAADF) 48,35.0
SuperScan (HAADF) 48,28.5
SuperScan (HAADF) 48,20.0
SuperScan (HAADF) 48,28.0
SuperScan (HAADF) 48,23.5
SuperScan (HAADF) 48,30.0
SuperScan (HAADF) 48,30.5
SuperScan (HAADF) 48,30.0
SuperScan (HAADF) 48,41.5
SuperScan (HAADF) 48,20.0
SuperScan (HAADF) 48,43.0
SuperScan (HAADF) 48,36.0
SuperScan (HAADF) 48,5.5
SuperScan (HAADF) 48,7.5
SuperScan (HAADF) 48,37.0
SuperScan (HAADF) 48,2.5
SuperScan (HAADF) 48,5.5
SuperScan (HAADF) 48,8.5
SuperScan (HAADF) 48,14.5
SuperScan (HAADF) 48,36.0
SuperScan (HAADF) 48,8.5
SuperScan (HAADF) 48,12.5
SuperScan (HAADF) 48,10.0
SuperScan (HAADF) 48,3.5
SuperScan (HAADF) 48,11.0
SuperScan (HAADF) 48,15.5
SuperScan (HAADF) 48,44.5
SuperScan (HAADF) 48,38.5
SuperScan (HAADF) 48,5.0
SuperScan (HAADF) 48,20.0
SuperScan (HAADF) 48,27.0
SuperScan (HAADF) 48,34.5
SuperScan (HAADF) 48,37.0
SuperScan (HAADF) 48,36.0
SuperScan (HAADF) 48,33.0
SuperScan (HAADF) 48,11.0
SuperScan (HAADF) 48,32.0
SuperScan (HAADF) 48,19.5
SuperScan (HAADF) 48,21.0
SuperScan (HAADF) 48,59.0
SuperScan (HAADF) 48,39.0
SuperScan (HAADF) 48,9.5
SuperScan (HAADF) 48,28.0
SuperScan (HAADF) 48,7.5
SuperScan (HAADF) 48,17.5
SuperScan (HAADF) 48,54.5
SuperScan (HAADF) 48,9.0
SuperScan (HAADF) 48,30.0
SuperScan (HAADF) 48,25.5
SuperScan (HAADF) 48,28.5
SuperScan (HAADF) 48,5.0
SuperScan (HAADF) 48,38.5
SuperScan (HAADF) 48,24.5
SuperScan (HAADF) 48,25.0
SuperScan (HAADF) 48,18.0
SuperScan (HAADF) 48,16.0
SuperScan (HAADF) 48,18.0
SuperScan (HAADF) 48,19.5
SuperScan (HAADF) 48,8.0
SuperScan (HAADF) 48,25.5
SuperScan (HAADF) 48,42.5
SuperScan (HAADF) 48,27.5
SuperScan (HAADF) 48,50.0
SuperScan (HAADF) 48,20.5
SuperScan (HAADF) 48,2.0
SuperScan (HAADF) 48,43.0
SuperScan (HAADF) 48,12.5
SuperScan (HAADF) 48,35.0
SuperScan (HAADF) 48,25.0
SuperScan (HAADF) 48,31.0
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,50.0
SuperScan (HAADF) 48,7.5
SuperScan (HAADF) 48,5.0
SuperScan (HAADF) 48,26.5
SuperScan (HAADF) 48,28.0
SuperScan (HAADF) 48,36.0
SuperScan (HAADF) 48,2.5
SuperScan (HAADF) 48,42.0
SuperScan (HAADF) 48,32.5
SuperScan (HAADF) 48,38.0
SuperScan (HAADF) 48,41.0
SuperScan (HAADF) 48,16.5
SuperScan (HAADF) 48,27.0
SuperScan (HAADF) 48,16.5
SuperScan (HAADF) 48,31.5
SuperScan (HAADF) 48,25.0
SuperScan (HAADF) 48,35.0
SuperScan (HAADF) 48,50.5
SuperScan (HAADF) 48,43.0
SuperScan (HAADF) 48,20.5
SuperScan (HAADF) 48,11.0
SuperScan (HAADF) 48,53.0
SuperScan (HAADF) 48,30.5
SuperScan (HAADF) 48,50.0
SuperScan (HAADF) 48,37.0
SuperScan (HAADF) 48,22.0
SuperScan (HAADF) 48,55.0
SuperScan (HAADF) 48,36.0
SuperScan (HAADF) 48,0.5
SuperScan (HAADF) 48,10.5
SuperScan (HAADF) 48,7.5
SuperScan (HAADF) 48,1.5
SuperScan (HAADF) 48,33.5
SuperScan (HAADF) 48,25.0
SuperScan (HAADF) 48,6.5
SuperScan (HAADF) 48,3.0
SuperScan (HAADF) 48,45.5
SuperScan (HAADF) 48,33.5
SuperScan (HAADF) 48,18.5
SuperScan (HAADF) 48,61.0
SuperScan (HAADF) 48,3.5
SuperScan (HAADF) 48,24.5
SuperScan (HAADF) 48,33.5
SuperScan (HAADF) 48,45.5
SuperScan (HAADF) 48,22.0
SuperScan (HAADF) 48,29.5
SuperScan (HAADF) 48,25.5
SuperScan (HAADF) 48,32.5
SuperScan (HAADF) 48,32.0
SuperScan (HAADF) 48,28.5
SuperScan (HAADF) 48,56.5
SuperScan (HAADF) 48,45.0
SuperScan (HAADF) 48,4.5
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,29.0
SuperScan (HAADF) 48,13.0
SuperScan (HAADF) 48,6.0
SuperScan (HAADF) 48,31.5
SuperScan (HAADF) 48,21.5
SuperScan (HAADF) 48,0.5
SuperScan (HAADF) 48,20.0
SuperScan (HAADF) 48,36.0
SuperScan (HAADF) 48,45.0
SuperScan (HAADF) 48,28.0
SuperScan (HAADF) 48,37.0
SuperScan (HAADF) 48,20.0
SuperScan (HAADF) 48,38.5
SuperScan (HAADF) 48,24.5
SuperScan (HAADF) 48,22.5
SuperScan (HAADF) 48,9.0
SuperScan (HAADF) 48,0.5
SuperScan (HAADF) 48,35.0
SuperScan (HAADF) 48,25.0
SuperScan (HAADF) 48,33.0
SuperScan (HAADF) 48,13.5
SuperScan (HAADF) 48,7.5
SuperScan (HAADF) 48,26.5
SuperScan (HAADF) 48,27.5
SuperScan (HAADF) 48,5.5
SuperScan (HAADF) 48,2.5
SuperScan (HAADF) 48,31.0
SuperScan (HAADF) 48,33.0
SuperScan (HAADF) 48,25.5
SuperScan (HAADF) 48,28.0
SuperScan (HAADF) 48,30.5
SuperScan (HAADF) 48,39.0
SuperScan (HAADF) 48,18.5
SuperScan (HAADF) 48,35.5
SuperScan (HAADF) 48,26.5
SuperScan (HAADF) 48,41.5
SuperScan (HAADF) 48,26.5
SuperScan (HAADF) 48,30.5
SuperScan (HAADF) 48,12.5
SuperScan (HAADF) 48,26.5
SuperScan (HAADF) 48,18.0
SuperScan (HAADF) 48,29.5
SuperScan (HAADF) 48,9.0
SuperScan (HAADF) 48,19.5
SuperScan (HAADF) 48,36.0
SuperScan (HAADF) 48,12.5
SuperScan (HAADF) 48,35.0
SuperScan (HAADF) 48,35.0
SuperScan (HAADF) 48,23.5
SuperScan (HAADF) 48,23.0
SuperScan (HAADF) 48,32.5
SuperScan (HAADF) 48,15.5
SuperScan (HAADF) 48,32.0
SuperScan (HAADF) 48,35.5
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,35.0
SuperScan (HAADF) 48,32.5
SuperScan (HAADF) 48,33.5
SuperScan (HAADF) 48,29.0
SuperScan (HAADF) 48,3.0
SuperScan (HAADF) 48,0.5
SuperScan (HAADF) 48,32.5
SuperScan (HAADF) 48,0.5
SuperScan (HAADF) 48,31.0
SuperScan (HAADF) 48,28.0
SuperScan (HAADF) 48,5.0
SuperScan (HAADF) 48,38.5
SuperScan (HAADF) 48,25.5
SuperScan (HAADF) 48,21.0
SuperScan (HAADF) 48,17.0
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,1.5
SuperScan (HAADF) 48,23.5
SuperScan (HAADF) 48,37.0
SuperScan (HAADF) 48,49.0
SuperScan (HAADF) 48,27.5
SuperScan (HAADF) 48,35.5
SuperScan (HAADF) 48,6.5
SuperScan (HAADF) 48,29.0
SuperScan (HAADF) 48,28.5
SuperScan (HAADF) 48,4.0
SuperScan (HAADF) 48,12.5
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,30.5
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,37.5
SuperScan (HAADF) 48,29.5
SuperScan (HAADF) 48,3.5
SuperScan (HAADF) 48,5.5
SuperScan (HAADF) 48,12.5
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,37.0
SuperScan (HAADF) 48,35.5
SuperScan (HAADF) 48,27.0
SuperScan (HAADF) 48,23.5
SuperScan (HAADF) 48,24.5
SuperScan (HAADF) 48,61.5
SuperScan (HAADF) 48,7.5
SuperScan (HAADF) 48,7.5
SuperScan (HAADF) 48,30.0
SuperScan (HAADF) 48,33.5
SuperScan (HAADF) 48,7.0
SuperScan (HAADF) 48,23.0
SuperScan (HAADF) 48,17.0
SuperScan (HAADF) 48,1.0
SuperScan (HAADF) 48,38.5
SuperScan (HAADF) 48,26.5
SuperScan (HAADF) 48,17.0
SuperScan (HAADF) 48,31.5
SuperScan (HAADF) 48,30.5
SuperScan (HAADF) 48,17.0
SuperScan (HAADF) 48,19.0
SuperScan (HAADF) 48,13.0
SuperScan (HAADF) 48,27.0
SuperScan (HAADF) 48,3.0
SuperScan (HAADF) 48,33.0
SuperScan (HAADF) 48,27.0
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,24.5
SuperScan (HAADF) 48,48.5
SuperScan (HAADF) 48,39.0
SuperScan (HAADF) 48,4.0
SuperScan (HAADF) 48,20.5
SuperScan (HAADF) 48,41.0
SuperScan (HAADF) 48,36.5
SuperScan (HAADF) 48,45.5
SuperScan (HAADF) 48,24.0
SuperScan (HAADF) 48,7.0
SuperScan (HAADF) 48,25.0
SuperScan (HAADF) 48,28.0
SuperScan (HAADF) 48,38.5
SuperScan (HAADF) 48,31.0
SuperScan (HAADF) 48,24.0
SuperScan (HAADF) 48,32.0
SuperScan (HAADF) 48,4.0
SuperScan (HAADF) 48,19.5
SuperScan (HAADF) 48,48.0
SuperScan (HAADF) 48,14.0
SuperScan (HAADF) 48,41.5
SuperScan (HAADF) 48,16.5
SuperScan (HAADF) 48,32.5
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,34.0
SuperScan (HAADF) 48,25.5
SuperScan (HAADF) 48,1.0
SuperScan (HAADF) 48,4.0
SuperScan (HAADF) 48,21.0
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,1.5
SuperScan (HAADF) 48,19.0
SuperScan (HAADF) 48,6.5
SuperScan (HAADF) 48,28.0
SuperScan (HAADF) 48,5.5
SuperScan (HAADF) 48,30.0
SuperScan (HAADF) 48,34.5
SuperScan (HAADF) 48,66.5
SuperScan (HAADF) 48,42.0
SuperScan (HAADF) 48,2.0
SuperScan (HAADF) 48,17.5
SuperScan (HAADF) 48,27.0
SuperScan (HAADF) 48,19.5
SuperScan (HAADF) 48,4.0
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,25.0
SuperScan (HAADF) 48,13.0
SuperScan (HAADF) 48,27.0
SuperScan (HAADF) 48,16.5
SuperScan (HAADF) 48,2.0
SuperScan (HAADF) 48,51.0
SuperScan (HAADF) 48,23.0
SuperScan (HAADF) 48,28.5
SuperScan (HAADF) 48,8.5
SuperScan (HAADF) 48,20.5
SuperScan (HAADF) 48,34.0
SuperScan (HAADF) 48,3.5
SuperScan (HAADF) 48,10.5
SuperScan (HAADF) 48,22.5
SuperScan (HAADF) 48,50.0
SuperScan (HAADF) 48,37.5
SuperScan (HAADF) 48,31.5
SuperScan (HAADF) 48,10.5
SuperScan (HAADF) 48,19.5
SuperScan (HAADF) 48,21.0
SuperScan (HAADF) 48,5.5
SuperScan (HAADF) 48,34.0
SuperScan (HAADF) 48,30.0
SuperScan (HAADF) 48,29.5
SuperScan (HAADF) 48,30.0
SuperScan (HAADF) 48,30.0
SuperScan (HAADF) 48,33.0
SuperScan (HAADF) 48,27.0
SuperScan (HAADF) 48,19.0
SuperScan (HAADF) 48,30.0
SuperScan (HAADF) 48,2.5
SuperScan (HAADF) 48,73.0
SuperScan (HAADF) 48,11.0
SuperScan (HAADF) 48,31.5
SuperScan (HAADF) 48,35.0
SuperScan (HAADF) 48,28.5
SuperScan (HAADF) 48,28.0
SuperScan (HAADF) 48,20.5
SuperScan (HAADF) 48,20.0
SuperScan (HAADF) 48,44.5
SuperScan (HAADF) 48,38.5
SuperScan (HAADF) 48,7.5
SuperScan (HAADF) 48,38.5
SuperScan (HAADF) 48,36.5
SuperScan (HAADF) 48,18.5
SuperScan (HAADF) 48,7.5
SuperScan (HAADF) 48,29.0
SuperScan (HAADF) 48,34.0
SuperScan (HAADF) 48,28.0
SuperScan (HAADF) 48,21.5
SuperScan (HAADF) 48,30.0
SuperScan (HAADF) 48,49.5
SuperScan (HAADF) 48,41.5
SuperScan (HAADF) 48,18.5
SuperScan (HAADF) 48,47.0
SuperScan (HAADF) 48,14.0
SuperScan (HAADF) 48,21.0
SuperScan (HAADF) 48,4.5
SuperScan (HAADF) 48,29.0
SuperScan (HAADF) 48,35.0
SuperScan (HAADF) 48,51.0
SuperScan (HAADF) 48,25.0
SuperScan (HAADF) 48,19.0
SuperScan (HAADF) 48,36.5
SuperScan (HAADF) 48,22.0
SuperScan (HAADF) 48,14.0
SuperScan (HAADF) 48,3.5
SuperScan (HAADF) 48,64.0
SuperScan (HAADF) 48,2.0
SuperScan (HAADF) 48,4.5
SuperScan (HAADF) 48,46.0
SuperScan (HAADF) 48,11.5
SuperScan (HAADF) 48,32.5
SuperScan (HAADF) 48,20.5
SuperScan (HAADF) 48,4.5
SuperScan (HAADF) 48,25.0
SuperScan (HAADF) 48,46.5
SuperScan (HAADF) 48,44.0
SuperScan (HAADF) 48,25.0
SuperScan (HAADF) 48,4.0
SuperScan (HAADF) 48,32.0
SuperScan (HAADF) 48,31.0
SuperScan (HAADF) 48,28.0
SuperScan (HAADF) 48,60.5
SuperScan (HAADF) 48,24.5
SuperScan (HAADF) 48,41.5
SuperScan (HAADF) 48,35.0
SuperScan (HAADF) 48,37.0
SuperScan (HAADF) 48,33.0
SuperScan (HAADF) 48,4.0
SuperScan (HAADF) 48,4.0
SuperScan (HAADF) 48,19.0
SuperScan (HAADF) 48,9.5
SuperScan (HAADF) 48,24.0
SuperScan (HAADF) 48,4.5
SuperScan (HAADF) 48,38.5
SuperScan (HAADF) 48,35.0
SuperScan (HAADF) 48,31.5
SuperScan (HAADF) 48,13.5
SuperScan (HAADF) 48,9.0
SuperScan (HAADF) 48,24.0
SuperScan (HAADF) 48,30.0
SuperScan (HAADF) 48,28.0
SuperScan (HAADF) 48,24.5
SuperScan (HAADF) 48,9.0
SuperScan (HAADF) 48,27.5
SuperScan (HAADF) 48,20.5
SuperScan (HAADF) 48,4.5
SuperScan (HAADF) 48,12.0
SuperScan (HAADF) 48,47.0
SuperScan (HAADF) 48,12.5
SuperScan (HAADF) 48,22.5
SuperScan (HAADF) 48,28.0
SuperScan (HAADF) 48,14.5
SuperScan (HAADF) 48,19.0
SuperScan (HAADF) 48,33.0
SuperScan (HAADF) 48,39.5
SuperScan (HAADF) 48,31.5
SuperScan (HAADF) 48,28.0
SuperScan (HAADF) 48,27.5
SuperScan (HAADF) 48,4.5
SuperScan (HAADF) 48,9.0
SuperScan (HAADF) 48,24.0
SuperScan (HAADF) 48,32.5
SuperScan (HAADF) 48,33.5
SuperScan (HAADF) 48,26.5
SuperScan (HAADF) 48,38.0
SuperScan (HAADF) 48,46.5
SuperScan (HAADF) 48,50.0
SuperScan (HAADF) 48,7.0
SuperScan (HAADF) 48,3.0
SuperScan (HAADF) 48,32.0
SuperScan (HAADF) 48,46.0
SuperScan (HAADF) 48,27.5
SuperScan (HAADF) 48,35.0
SuperScan (HAADF) 48,1.0
SuperScan (HAADF) 48,29.5
SuperScan (HAADF) 48,46.0
SuperScan (HAADF) 48,44.0
SuperScan (HAADF) 48,28.5
SuperScan (HAADF) 48,58.5
SuperScan (HAADF) 48,25.0
SuperScan (HAADF) 48,9.5
SuperScan (HAADF) 48,33.5
SuperScan (HAADF) 48,46.5
SuperScan (HAADF) 48,36.5
SuperScan (HAADF) 48,6.5
SuperScan (HAADF) 48,18.0
SuperScan (HAADF) 48,7.0
SuperScan (HAADF) 48,25.5
SuperScan (HAADF) 48,19.5
SuperScan (HAADF) 48,44.0
SuperScan (HAADF) 48,23.0
SuperScan (HAADF) 48,15.0
SuperScan (HAADF) 48,42.0
SuperScan (HAADF) 48,31.5
SuperScan (HAADF) 48,25.5
SuperScan (HAADF) 48,37.5
SuperScan (HAADF) 48,1.0
SuperScan (HAADF) 48,17.5
SuperScan (HAADF) 48,29.5
SuperScan (HAADF) 48,27.0
SuperScan (HAADF) 48,19.5
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,6.0
SuperScan (HAADF) 48,44.0
SuperScan (HAADF) 48,31.0
SuperScan (HAADF) 48,20.5
SuperScan (HAADF) 48,16.0
SuperScan (HAADF) 48,32.5
SuperScan (HAADF) 48,1.0
SuperScan (HAADF) 48,22.0
SuperScan (HAADF) 48,1.0
SuperScan (HAADF) 48,15.0
SuperScan (HAADF) 48,30.0
SuperScan (HAADF) 48,43.5
SuperScan (HAADF) 48,7.0
SuperScan (HAADF) 48,39.5
SuperScan (HAADF) 48,17.0
SuperScan (HAADF) 48,24.5
SuperScan (HAADF) 48,30.5
SuperScan (HAADF) 48,37.0
SuperScan (HAADF) 48,17.5
SuperScan (HAADF) 48,20.5
SuperScan (HAADF) 48,41.0
SuperScan (HAADF) 48,32.5
SuperScan (HAADF) 48,14.5
SuperScan (HAADF) 48,32.0
SuperScan (HAADF) 48,9.0
SuperScan (HAADF) 48,41.0
SuperScan (HAADF) 48,38.5
SuperScan (HAADF) 48,15.0
SuperScan (HAADF) 48,37.0
SuperScan (HAADF) 48,3.5
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,34.0
SuperScan (HAADF) 48,31.0
SuperScan (HAADF) 48,37.0
SuperScan (HAADF) 48,35.5
SuperScan (HAADF) 48,34.5
SuperScan (HAADF) 48,26.0
SuperScan (HAADF) 48,39.0
SuperScan (HAADF) 48,10.5
SuperScan (HAADF) 48,23.0
SuperScan (HAADF) 48,33.0
SuperScan (HAADF) 48,16.5
SuperScan (HAADF) 48,1.0
SuperScan (HAADF) 48,41.5
SuperScan (HAADF) 48,9.5
SuperScan (HAADF) 48,27.0
SuperScan (HAADF) 48,4.5
SuperScan (HAADF) 48,20.5
SuperScan (HAADF) 48,40.0
SuperScan (HAADF) 48,20.0
SuperScan (HAADF) 48,9.0
SuperScan (HAADF) 48,17.5
SuperScan (HAADF) 48,11.5
SuperScan (HAADF) 48,9.5
SuperScan (HAADF) 48,25.5
SuperScan (HAADF) 48,6.5
SuperScan (HAADF) 48,27.0
SuperScan (HAADF) 48,39.5
SuperScan (HAADF) 48,41.5
SuperScan (HAADF) 48,25.5
SuperScan (HAADF) 48,34.5
SuperScan (HAADF) 48,68.5
SuperScan (HAADF) 48,26.5
SuperScan (HAADF) 48,33.0
SuperScan (HAADF) 48,63.5
SuperScan (HAADF) 48,38.5
SuperScan (HAADF) 48,36.0
SuperScan (HAADF) 48,8.0
SuperScan (HAADF) 48,3.0
SuperScan (HAADF) 48,28.5
SuperScan (HAADF) 48,30.5
SuperScan (HAADF) 48,31.5
SuperScan (HAADF) 48,27.5
SuperScan (HAADF) 48,11.5
SuperScan (HAADF) 48,31.5
SuperScan (HAADF) 48,5.5
SuperScan (HAADF) 48,31.5
SuperScan (HAADF) 48,32.0
SuperScan (HAADF) 48,24.0
SuperScan (HAADF) 48,38.0
SuperScan (HAADF) 48,44.0
SuperScan (HAADF) 48,28.5
